SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2025-04-26;;18.62916667;;;;;;;;;;;;;;
KENNEDY;2025-04-25;;28.63333333;;;;;;;;;;;;;;
KENNEDY;2025-04-24;;19.51666667;;;;;;;;;;;;;;
KENNEDY;2025-04-23;;27.77083333;;;;;;;;;;;;;;
KENNEDY;2025-04-22;;24.425;;;;;;;;;;;;;;
KENNEDY;2025-04-21;;16.33333333;;;;;;;;;;;;;;
KENNEDY;2025-04-20;;6.8875;;;;;;;;;;;;;;
KENNEDY;2025-04-19;;9.25833333;;;;;;;;;;;;;;
KENNEDY;2025-04-18;;10.24347826;;;;;;;;;;;;;;
KENNEDY;2025-04-17;;20.21666667;;;;;;;;;;;;;;
KENNEDY;2025-04-16;;28.27083333;;;;;;;;;;;;;;
KENNEDY;2025-04-15;;18.77142857;;;;;;;;;;;;;;
KENNEDY;2025-04-14;;18.8;;;;;;;;;;;;;;
KENNEDY;2025-04-13;;14.225;;;;;;;;;;;;;;
KENNEDY;2025-04-12;;26.5625;;;;;;;;;;;;;;
KENNEDY;2025-04-11;;15.57368421;;;;;;;;;;;;;;
KENNEDY;2025-04-10;;13.08636364;;;;;;;;;;;;;;
KENNEDY;2025-04-09;;17.86956522;;;;;;;;;;;;;;
KENNEDY;2025-04-08;;19.75217391;;;;;;;;;;;;;;
KENNEDY;2025-04-07;;14.41666667;;;;;;;;;;;;;;
KENNEDY;2025-04-06;;9.06666667;;;;;;;;;;;;;;
KENNEDY;2025-04-05;;11.69583333;;;;;;;;;;;;;;
KENNEDY;2025-04-04;;18.375;;;;;;;;;;;;;;
KENNEDY;2025-04-03;;21.09583333;;;;;;;;;;;;;;
KENNEDY;2025-04-02;;19.825;;;;;;;;;;;;;;
KENNEDY;2025-04-01;;26.0375;;;;;;;;;;;;;;
KENNEDY;2025-03-31;;19.41304348;;;;;;;;;;;;;;
KENNEDY;2025-03-30;;20.84166667;;;;;;;;;;;;;;
KENNEDY;2025-03-29;;26.53333333;;;;;;;;;;;;;;
KENNEDY;2025-03-28;;26.53333333;;;;;;;;;;;;;;
KENNEDY;2025-03-27;;23.28333333;;;;;;;;;;;;;;
KENNEDY;2025-03-26;;31.2625;;;;;;;;;;;;;;
KENNEDY;2025-03-25;;25.90833333;;;;;;;;;;;;;;
KENNEDY;2025-03-24;;17.075;;;;;;;;;;;;;;
KENNEDY;2025-03-23;;17.19583333;;;;;;;;;;;;;;
KENNEDY;2025-03-22;;15.91666667;;;;;;;;;;;;;;
KENNEDY;2025-03-21;;12.67916667;;;;;;;;;;;;;;
